epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.9749,1.01333,2.14676,1.46843,0.38049,0.66653,0.45466,0.27889,1.27789,2.24135,1.92859,0.000474405,0.000474405,0.000474405
2,164.932,1.01366,1.51688,1.44526,0.53412,0.70862,0.61466,0.40469,1.07701,1.74435,1.79552,0.000919364,0.000919364,0.000919364
3,245.421,1.02429,1.30735,1.4552,0.62444,0.76946,0.69676,0.49439,0.93257,1.09927,1.61543,0.00133288,0.00133288,0.00133288
4,326.109,0.99342,1.20284,1.42975,0.6865,0.66222,0.74352,0.53325,0.96199,1.09692,1.6229,0.00128753,0.00128753,0.00128753
5,407,0.9336,1.08823,1.38412,0.74744,0.75378,0.80652,0.61638,0.83574,0.96026,1.48628,0.00124037,0.00124037,0.00124037
6,487.853,0.91604,1.0273,1.35877,0.68522,0.76007,0.7957,0.62036,0.80753,0.85959,1.46376,0.00119322,0.00119322,0.00119322
7,568.301,0.88167,0.97585,1.34316,0.69482,0.76832,0.80691,0.60134,0.88943,0.90161,1.53207,0.00114606,0.00114606,0.00114606
8,648.454,0.86533,0.94213,1.32409,0.78572,0.86818,0.90098,0.72204,0.7397,0.68069,1.3654,0.0010989,0.0010989,0.0010989
9,728.666,0.82862,0.89496,1.30004,0.76666,0.86683,0.89357,0.71994,0.71744,0.67881,1.35833,0.00105174,0.00105174,0.00105174
10,809.287,0.82268,0.8662,1.28957,0.8318,0.87554,0.91934,0.74246,0.74314,0.62094,1.395,0.00100459,0.00100459,0.00100459
11,889.177,0.81223,0.84014,1.27813,0.86472,0.86272,0.91917,0.75889,0.67401,0.57693,1.29552,0.00095743,0.00095743,0.00095743
12,969.782,0.79233,0.82468,1.26428,0.84502,0.8554,0.91507,0.76701,0.65268,0.58177,1.25814,0.000910273,0.000910273,0.000910273
13,1050.1,0.78235,0.79694,1.25518,0.79938,0.8911,0.91829,0.76303,0.65101,0.59869,1.27297,0.000863116,0.000863116,0.000863116
14,1130.54,0.77166,0.77822,1.24003,0.83178,0.84561,0.92206,0.77979,0.63618,0.58944,1.25559,0.000815959,0.000815959,0.000815959
15,1210.98,0.7568,0.75163,1.23683,0.84795,0.89545,0.93884,0.79087,0.64458,0.54245,1.25798,0.000768802,0.000768802,0.000768802
16,1291.41,0.74933,0.7439,1.23706,0.85355,0.91128,0.93988,0.8015,0.63088,0.48449,1.22694,0.000721645,0.000721645,0.000721645
17,1371.9,0.74139,0.73123,1.22056,0.85221,0.92709,0.94677,0.79714,0.62432,0.48121,1.24722,0.000674488,0.000674488,0.000674488
18,1452.51,0.72754,0.71215,1.21067,0.90391,0.90548,0.94421,0.80915,0.5969,0.46896,1.20059,0.000627331,0.000627331,0.000627331
19,1533.12,0.71745,0.6999,1.2036,0.86403,0.92253,0.94761,0.81728,0.5909,0.48659,1.19401,0.000580174,0.000580174,0.000580174
20,1613.94,0.71662,0.67854,1.20461,0.83461,0.9194,0.94673,0.81655,0.58402,0.5012,1.19247,0.000533017,0.000533017,0.000533017
21,1709.59,0.56699,0.47172,1.12119,0.90348,0.90956,0.94818,0.8218,0.57396,0.44768,1.16913,0.00048586,0.00048586,0.00048586
22,1789.58,0.55326,0.45601,1.111,0.8791,0.9223,0.94244,0.82116,0.57462,0.47284,1.17392,0.000438703,0.000438703,0.000438703
23,1869.18,0.53202,0.42092,1.09235,0.8833,0.91334,0.94156,0.82888,0.55023,0.45989,1.13571,0.000391546,0.000391546,0.000391546
24,1949.26,0.52851,0.41138,1.08109,0.90138,0.92681,0.95604,0.84352,0.54285,0.42475,1.12565,0.000344389,0.000344389,0.000344389
25,2029.56,0.51648,0.38487,1.08009,0.92408,0.92525,0.96409,0.84948,0.53682,0.38803,1.11269,0.000297232,0.000297232,0.000297232
26,2109.88,0.49645,0.37521,1.052,0.91744,0.94299,0.96065,0.85105,0.52462,0.38829,1.10798,0.000250075,0.000250075,0.000250075
27,2190.07,0.48531,0.35789,1.05394,0.91191,0.92919,0.96257,0.85748,0.52213,0.40231,1.11127,0.000202918,0.000202918,0.000202918
28,2270.32,0.47884,0.34204,1.04312,0.93567,0.9336,0.95509,0.84913,0.52465,0.38768,1.10594,0.000155761,0.000155761,0.000155761
29,2358.94,0.4685,0.32679,1.03633,0.90655,0.94809,0.96585,0.8592,0.51917,0.3809,1.10401,0.000108604,0.000108604,0.000108604
30,2441.16,0.45836,0.31253,1.02399,0.94037,0.96317,0.96925,0.86762,0.50599,0.33006,1.0901,6.1447e-05,6.1447e-05,6.1447e-05
